# Generated by: go run ./cmd/seedpairs
# Format: start,target
bad,cap
bad,cup
bad,dog
bad,get
bad,pen
bag,car
bag,dog
bag,men
bag,pan
bag,rat
bag,red
bat,can
bat,run
bat,tip
bed,car
bed,cot
bed,dot
bed,hit
bed,tip
bed,top
big,bat
big,bed
big,hat
big,hot
big,pan
big,tip
bit,bad
bit,bag
bit,cup
bit,dig
bit,men
bit,red
can,dig
can,dot
can,fog
can,run
can,wet
cap,bit
cap,pan
cap,wet
car,hat
car,hen
car,rat
cat,dog
cat,lot
cat,men
cat,pen
cat,top
cat,wet
cot,big
cot,pat
cot,tap
cup,big
cup,can
cup,fog
cup,mat
cup,not
cup,run
dat,cot
dat,cup
dat,get
dig,bag
dig,fan
dig,get
dig,pit
dig,tap
dig,tip
dog,hat
dog,hit
dog,pen
dog,tip
dot,fan
dot,pat
dot,pit
dot,top
fan,bat
fan,dat
fan,hit
fan,pit
fog,bed
fog,car
fog,hen
fog,mat
fog,pat
fog,tap
get,bag
get,cat
get,fog
get,lot
get,red
get,sun
hat,red
hen,bag
hen,dig
hen,rat
hen,run
hit,bad
hit,can
hit,car
hit,cat
hit,sat
hit,wet
hot,can
hot,dat
hot,fog
hot,get
hot,pat
hot,tap
lot,dat
lot,fan
man,bad
man,big
man,dot
man,top
mat,car
mat,dot
mat,hot
mat,men
mat,tap
mat,top
men,bad
men,bat
men,dot
men,pan
men,rat
men,sun
not,bad
not,bat
not,get
not,hit
not,mat
pan,dig
pan,hat
pan,hen
pan,not
pan,tip
pat,dog
pat,lot
pen,can
pen,dig
pen,fan
pen,fog
pen,red
pit,bag
pit,bat
pit,bed
pit,hen
pit,man
pit,not
rat,bit
rat,fog
rat,get
rat,hit
rat,man
rat,wet
red,bat
red,dat
red,hot
red,pan
red,pat
red,tap
run,bed
run,cap
run,cat
run,dat
run,fan
run,man
sat,bag
sat,cap
sat,lot
sat,run
sit,cap
sit,car
sit,fan
sit,hat
sit,lot
sit,not
sun,cap
sun,cup
sun,hot
sun,pen
sun,red
sun,sit
tap,bit
tap,dat
tap,pan
tap,sun
tip,sat
tip,sun
top,bad
top,can
top,hot
top,lot
top,pen
top,wet
wet,big
wet,dog
wet,hot
wet,not
wet,pen
