# Generated by: go run ./cmd/seedpairs
# Format: start,target
beeth,treas
belch,flocs
black,bilch
black,white
blend,glass
blond,green
blood,whits
brain,braes
brass,breth
brass,gloss
brass,stile
bread,braid
bread,sweep
bread,toast
break,beech
break,plane
breth,toust
bride,flook
bride,truss
chick,brass
click,belch
dread,plane
dream,chics
flock,sweet
floor,glass
grain,braes
grass,green
horse,whits
house,brite
plant,broad
shirt,chain
shirt,sweat
shore,grain
sleep,dream
sleep,share
smile,scale
stale,blend
stale,click
sweet,dream
sweet,toast
toast,shore
toust,tress
toust,whits
water,wiser
white,brees
white,bride
white,dream
white,water
whits,brain
wiser,chits
