# Generated by: go run ./cmd/seedpairs
# Format: start,target
ball,bens
ball,dish
bare,dish
bare,head
beer,flit
beer,foot
beer,more
bees,hide
bell,dawk
bell,lore
bell,sing
bens,hond
bens,lore
bens,wine
bens,word
bins,dark
bins,fell
bins,more
bins,slot
cold,star
cold,warm
dawk,more
dawk,song
dawk,ward
dawn,fall
dawn,late
dawn,more
dish,like
dish,tame
fait,less
fait,lote
fait,tree
fall,slow
fall,tree
fast,bens
fast,gold
fast,shop
fast,ward
fish,ball
fish,fall
fish,fell
flit,lote
flit,noon
fond,dawn
food,dish
food,lake
food,noon
food,song
free,fast
free,noon
gard,dawn
gard,teal
gare,fond
gare,lote
gare,work
hand,foot
hand,warm
hate,fell
hate,love
hate,star
head,care
head,fire
head,late
head,tail
hide,beer
hide,ship
hire,song
hold,lore
hond,shop
hond,star
late,fall
late,more
lese,fond
lese,hand
less,teil
like,gold
like,teal
load,gare
load,shop
load,slit
lose,bare
lose,tail
lote,beer
lote,time
love,bees
love,fast
love,moon
moon,fish
moon,lake
more,less
more,talk
noon,hire
noon,late
noon,sing
noon,tail
noon,tead
ring,bell
ring,flit
ring,hold
road,beer
road,lose
ship,lake
ship,late
shop,cold
shop,ward
sing,dawn
sing,gard
sing,tame
slit,bine
slot,noon
slow,fast
slow,lote
slow,song
star,warm
tail,bees
tail,fond
talk,care
talk,game
talk,head
talk,slow
tame,head
tead,flit
tead,ring
teal,gold
teal,lese
teal,sing
teil,dawk
teil,fond
teil,work
time,gard
tree,cold
tree,dish
tree,like
tree,wine
walk,beer
walk,noon
walk,sing
ward,dish
ward,foot
ward,late
warm,gold
warm,lote
wine,beer
wold,care
wold,fall
wold,gard
wold,moon
word,care
word,game
work,wine
