# Generated by: go run ./cmd/seedpairs
# Format: start,target
bad,big
bad,car
bad,fan
bad,fog
bad,sat
bad,tip
bag,dat
bag,pan
bag,pat
bag,tap
bag,wet
bat,cap
bat,det
bat,hot
bed,fan
bed,rat
bed,run
bed,top
big,dat
big,dot
big,pat
big,run
bit,bad
bit,bed
bit,men
bit,sun
can,bad
can,dot
can,men
can,sat
cap,bit
cap,dog
cap,fog
cap,sit
car,bed
car,bit
car,dog
car,fog
car,sun
car,wet
cat,bag
cat,dog
cat,lot
cat,tip
cot,fan
cot,hat
cot,pan
cot,pen
cup,big
cup,can
cup,red
cup,wet
dat,cot
dat,dig
det,bag
det,cat
det,cup
det,man
det,tap
dig,bat
dig,hat
dig,lot
dig,pen
dig,pit
dig,tap
dog,lot
dog,mat
dog,not
dog,pit
dot,bat
dot,car
dot,hit
dot,men
dot,run
dot,wet
fan,bat
fan,cup
fan,dog
fan,dot
fan,tap
fan,wet
fog,big
fog,can
fog,cot
fog,lot
fog,pat
fog,sat
get,bat
get,fog
get,top
hat,bed
hat,bit
hat,car
hat,tap
hen,big
hen,dat
hen,det
hen,fog
hen,hat
hen,sat
hit,can
hit,fan
hit,lot
hit,mat
hit,men
hit,run
hot,dat
hot,det
hot,get
hot,pan
hot,pat
hot,tip
lot,bad
lot,get
lot,hat
lot,hen
lot,pan
lot,red
man,bed
man,bit
man,cup
man,dog
man,hen
man,sat
mat,car
mat,cot
mat,run
men,bad
men,bat
men,cap
men,dig
men,tip
men,top
not,car
not,det
not,fan
pan,cap
pan,cat
pan,fog
pan,get
pan,mat
pan,men
pat,can
pat,cup
pat,det
pat,hen
pat,lot
pat,wet
pen,can
pen,man
pen,not
pen,pit
pen,rat
pen,sun
pit,cot
pit,dot
pit,get
pit,mat
pit,red
pit,tip
rat,bad
rat,hit
red,bat
red,cot
red,sit
red,top
run,bag
run,bit
run,cat
run,tip
sat,bed
sat,big
sat,cup
sat,dig
sat,sun
sit,car
sit,det
sit,dot
sit,hen
sit,top
sun,pit
sun,tap
tap,bad
tap,pen
tap,red
tip,can
tip,cap
tip,dog
tip,hit
tip,not
top,bag
top,fan
top,hen
top,man
top,mat
wet,cot
wet,hot
wet,red
wet,run
wet,sat
