# Generated by: go run ./cmd/seedpairs
# Format: start,target
alice,green
alice,house
alick,horse
alick,stone
atone,brack
atone,grues
atone,trest
barth,sweat
barth,sweet
birth,grues
black,tread
black,white
blood,sweat
brack,light
bread,toast
breck,atone
breck,tight
breed,shore
bride,green
chain,break
crack,birth
craik,toist
crain,birth
crain,gloss
dread,crack
dreed,alack
float,barth
float,grues
float,house
floor,glass
flout,break
grass,dread
green,stone
grees,birth
grees,glout
grees,light
grees,toist
gruss,arite
gruss,night
horse,alite
horse,craik
horse,trest
house,night
light,brith
night,flout
night,scale
night,sweet
scale,alack
share,bread
share,flout
share,gloss
sheat,alice
sheat,barth
shore,flout
shore,wader
short,craik
short,witch
sleep,dream
sloat,crack
spale,arite
spale,witch
spile,bride
spile,wider
sweat,glout
tight,shirt
tight,treat
tight,water
toist,short
trist,scale
wader,green
water,break
wider,gloss
wider,plant
wider,tight
witch,bride
witch,float
witch,stone
witch,sweet
write,green
write,trest
