# Generated by: go run ./cmd/seedpairs
# Format: start,target
ball,star
ball,ward
bare,fand
been,hold
been,lere
been,tead
been,tree
been,warm
beer,dawn
beer,ward
bell,bine
bell,noon
bene,ward
bine,dish
bine,hate
bine,love
cold,lore
cold,warm
cold,work
dawk,lore
dawn,fall
dawn,hire
dawn,load
dish,song
fand,lote
fand,love
fand,road
fand,wold
fast,lote
fell,fand
fell,gare
fell,ring
fish,hide
fish,love
fist,game
fist,hand
flot,pork
flow,dish
flow,gare
fond,dish
fond,hide
foot,warm
free,been
free,care
game,beer
game,slow
gard,bell
gard,like
gard,lore
gard,pork
gard,wine
gare,bell
gold,ball
hand,foot
hand,less
hate,lese
hate,love
hate,road
head,lake
head,ship
head,shop
head,tail
hide,flot
hide,free
hire,cold
lake,moon
lake,ship
lake,shop
late,road
late,ship
lere,fond
lese,beer
lese,hold
less,fand
less,hide
less,lore
less,lote
less,shop
like,food
like,head
load,foot
lore,ward
lote,fish
lote,fist
love,gold
love,wold
moon,bare
moon,lote
moon,shop
more,bine
more,less
more,star
noon,bene
noon,hide
noon,ring
peak,foot
peak,load
perk,more
pork,flow
pork,lake
ring,beer
ring,hide
road,hand
road,hire
road,lake
ship,fond
ship,lere
shop,bine
slow,fand
slow,fast
slow,hire
slow,lore
slow,walk
song,free
song,time
song,tree
star,fall
star,song
tail,fell
talk,bare
talk,fish
tame,fand
tead,dish
tead,hate
tead,hire
tead,noon
time,hold
time,pork
time,sing
tree,foot
tree,game
tree,hire
tree,ward
walk,dish
walk,fond
walk,time
ward,pork
ward,sing
warm,peak
warm,slow
wine,bare
wine,beer
wine,fond
wine,lote
wine,song
wold,fell
wold,sing
word,game
word,lake
work,time
